SESSIONKEY,USERID,AGENTLOCATIONID,SESSIONSTARTDATE,LASTTXNDATE,SESSIONDATELOCAL,FUNCTIONID,LOGINKEY,REMOTEADDRESS,TXNREFNO,SESSIONSTATUS,SESSIONDATELOCALLASTACCSSED,OTPNO
vk18257042858444,10005cinim,784101,14/09/18 12:28,14/09/18 12:28,14/09/18 16:28,656,1857901002350810,10.45.0.179, ,1,14/09/18 16:28,
gx18257043314525,10005cinim,784101,14/09/18 12:33,14/09/18 12:33,14/09/18 16:33,656,1857901002350810,10.45.0.179, ,1,14/09/18 16:33,
jn18257043318910,10005cinim,784101,14/09/18 12:33,14/09/18 12:33,14/09/18 16:33,656,1857901002350810,10.45.0.179, ,1,14/09/18 16:33,
zu18257043415046,10005cinim,784101,14/09/18 12:34,14/09/18 12:34,14/09/18 16:34,656,1857901002350810,10.45.0.179, ,3,14/09/18 16:34,
ff18257043422364,10005cinim,784101,14/09/18 12:34,14/09/18 12:34,14/09/18 16:34,656,1857901002350810,10.45.0.179, ,1,14/09/18 16:34,
fg18257043509044,10005cinim,784101,14/09/18 12:35,14/09/18 12:35,14/09/18 16:35,656,1857938275661260,10.45.0.179, ,3,14/09/18 16:35,
ar18257043524311,10005cinim,784101,14/09/18 12:35,14/09/18 12:35,14/09/18 16:35,656,1857938275661260,10.45.0.179, ,1,14/09/18 16:35,
da18257044203825,10005cinim,784101,14/09/18 12:42,14/09/18 12:42,14/09/18 16:42,656,1857894330739500,10.45.0.179, ,3,14/09/18 16:42,
hn18257044210415,10005cinim,784101,14/09/18 12:42,14/09/18 12:42,14/09/18 16:42,656,1857894330739500,10.45.0.179, ,1,14/09/18 16:42,
hz18257044302283,10005cinim,784101,14/09/18 12:43,14/09/18 12:43,14/09/18 16:43,656,1857894330739500,10.45.0.179, ,3,14/09/18 16:43,
mz18257044309048,10005cinim,784101,14/09/18 12:43,14/09/18 12:43,14/09/18 16:43,656,1857894330739500,10.45.0.179, ,1,14/09/18 16:43,
uh18257044432867,10005cinim,784101,14/09/18 12:44,14/09/18 12:44,14/09/18 16:44,656,1857894330739500,10.45.0.179, ,1,14/09/18 16:44,
yg18257044500558,10005cinim,784101,14/09/18 12:45,14/09/18 12:45,14/09/18 16:45,656,1857894330739500,10.45.0.179, ,3,14/09/18 16:45,
sh18257044507195,10005cinim,784101,14/09/18 12:45,14/09/18 12:45,14/09/18 16:45,656,1857894330739500,10.45.0.179, ,3,14/09/18 16:45,
uy18257044517906,10005cinim,784101,14/09/18 12:45,14/09/18 12:45,14/09/18 16:45,656,1857894330739500,10.45.0.179, ,1,14/09/18 16:45,
on18257044605184,10005cinim,784101,14/09/18 12:46,14/09/18 12:46,14/09/18 16:46,656,1857127535447150,10.45.0.179, ,3,14/09/18 16:46,
ow18257044620402,10005cinim,784101,14/09/18 12:46,14/09/18 12:46,14/09/18 16:46,656,1857127535447150,10.45.0.179, ,1,14/09/18 16:46,
qu18269094537308,10005cinim,784101,26/09/18 05:45,26/09/18 05:45,26/09/18 09:45,656,1869125039482430,10.45.0.179, ,3,26/09/18 09:45,
of18269094552640,10005cinim,784101,26/09/18 05:45,26/09/18 05:45,26/09/18 09:45,656,1869125039482430,10.45.0.179, ,1,26/09/18 09:45,
jt18267112633449,10005cinim,784101,24/09/18 07:26,24/09/18 07:26,24/09/18 11:26,656,1867826345973020,10.45.0.179, ,1,24/09/18 11:26,
ql18267120656585,10005cinim,784101,24/09/18 08:06,24/09/18 08:06,24/09/18 12:06,656,1867322075533500,10.45.0.179, ,3,24/09/18 12:07,
oy18267120712493,10005cinim,784101,24/09/18 08:07,24/09/18 08:07,24/09/18 12:07,656,1867322075533500,10.45.0.179, ,1,24/09/18 12:07,
xr18257091851304,10005cinim,784101,14/09/18 05:18,14/09/18 05:18,14/09/18 09:18,655,1857421763799320,10.45.0.179, ,3,14/09/18 09:19,
hv18257091906822,10005cinim,784101,14/09/18 05:19,14/09/18 05:19,14/09/18 09:19,655,1857421763799320,10.45.0.179, ,1,14/09/18 09:19,
to18257092655265,10005cinim,784101,14/09/18 05:26,14/09/18 05:26,14/09/18 09:26,655,1857421763799320,10.45.0.179, ,1,14/09/18 09:26,
lx18257092700376,10005cinim,784101,14/09/18 05:27,14/09/18 05:27,14/09/18 09:27,655,1857421763799320,10.45.0.179, ,1,14/09/18 09:27,
et18257094245993,10005cinim,784101,14/09/18 05:42,14/09/18 05:42,14/09/18 09:42,655,1857308373042690,10.45.0.179, ,1,14/09/18 09:42,
he18257094732341,10005cinim,784101,14/09/18 05:47,14/09/18 05:47,14/09/18 09:47,655,1857623557356400,10.45.0.179, ,1,14/09/18 09:47,
ef18257094907722,10005cinim,784101,14/09/18 05:49,14/09/18 05:49,14/09/18 09:49,655,1857738320415390,10.45.0.179, ,1,14/09/18 09:49,
ux18257095216857,10005cinim,784101,14/09/18 05:52,14/09/18 05:52,14/09/18 09:52,655,1857123840830160,10.45.0.179, ,1,14/09/18 09:52,
jd18257095556889,10005cinim,784101,14/09/18 05:55,14/09/18 05:55,14/09/18 09:55,655,1857235298473240,10.45.0.179, ,1,14/09/18 09:55,
cb18257100650901,10005cinim,784101,14/09/18 06:06,14/09/18 06:06,14/09/18 10:06,655,1857283317299300,10.45.0.179, ,3,14/09/18 10:07,
yk18257100934505,10005cinim,784101,14/09/18 06:09,14/09/18 06:09,14/09/18 10:09,655,1857283317299300,10.45.0.179, ,3,14/09/18 10:10,
wx18257101015160,10005cinim,784101,14/09/18 06:10,14/09/18 06:10,14/09/18 10:10,655,1857283317299300,10.45.0.179, ,3,14/09/18 10:10,
ly18257101038359,10005cinim,784101,14/09/18 06:10,14/09/18 06:10,14/09/18 10:10,655,1857283317299300,10.45.0.179, ,1,14/09/18 10:10,
bd18257101312271,10005cinim,784101,14/09/18 06:13,14/09/18 06:13,14/09/18 10:13,655,1857980853356440,10.45.0.179, ,3,14/09/18 10:20,
qp18257102044831,10005cinim,784101,14/09/18 06:20,14/09/18 06:20,14/09/18 10:20,655,1857980853356440,10.45.0.179, ,1,14/09/18 10:20,
ko18257104431638,10005cinim,784101,14/09/18 06:44,14/09/18 06:44,14/09/18 10:44,655,1857980853356440,10.45.0.179, ,1,14/09/18 10:44,
dz18257105719905,10005cinim,784101,14/09/18 06:57,14/09/18 06:57,14/09/18 10:57,655,1857250470036750,10.45.0.179, ,3,14/09/18 10:57,
zm18257105825256,10005cinim,784101,14/09/18 06:58,14/09/18 06:58,14/09/18 10:58,655,1857250470036750,10.45.0.179, ,1,14/09/18 10:58,
lj18257105925016,10005cinim,784101,14/09/18 06:59,14/09/18 06:59,14/09/18 10:59,655,1857440585016580,10.45.0.179, ,3,14/09/18 10:59,
xa18257110033705,10005cinim,784101,14/09/18 07:00,14/09/18 07:00,14/09/18 11:00,655,1857440585016580,10.45.0.179, ,1,14/09/18 11:00,
za18257110317329,10005cinim,784101,14/09/18 07:03,14/09/18 07:03,14/09/18 11:03,655,1857440585016580,10.45.0.179, ,1,14/09/18 11:03,
hv18257110429266,10005cinim,784101,14/09/18 07:04,14/09/18 07:04,14/09/18 11:04,655,1857725595953910,10.45.0.179, ,3,14/09/18 11:05,
qt18257110601977,10005cinim,784101,14/09/18 07:06,14/09/18 07:06,14/09/18 11:06,655,1857581669377350,10.45.0.179, ,1,14/09/18 11:06,
xw18257110609878,10005cinim,784101,14/09/18 07:06,14/09/18 07:06,14/09/18 11:06,655,1857581669377350,10.45.0.179, ,1,14/09/18 11:06,
pg18257110623682,10005cinim,784101,14/09/18 07:06,14/09/18 07:06,14/09/18 11:06,655,1857581669377350,10.45.0.179, ,1,14/09/18 11:06,
tr18257111023770,10005cinim,784101,14/09/18 07:10,14/09/18 07:10,14/09/18 11:10,655,1857632105229070,10.45.0.179, ,3,14/09/18 11:10,
nq18257111103724,10005cinim,784101,14/09/18 07:11,14/09/18 07:11,14/09/18 11:11,655,1857632105229070,10.45.0.179, ,1,14/09/18 11:11,
rt18257111219999,10005cinim,784101,14/09/18 07:12,14/09/18 07:12,14/09/18 11:12,655,1857445344573630,10.45.0.179, ,3,14/09/18 11:12,
is18257111349560,10005cinim,784101,14/09/18 07:13,14/09/18 07:13,14/09/18 11:13,655,1857445344573630,10.45.0.179, ,1,14/09/18 11:13,
iy18257111523106,10005cinim,784101,14/09/18 07:15,14/09/18 07:15,14/09/18 11:15,655,1857392206086920,10.45.0.179, ,3,14/09/18 11:15,
ij18257111816806,10005cinim,784101,14/09/18 07:18,14/09/18 07:18,14/09/18 11:18,655,1857392206086920,10.45.0.179, ,1,14/09/18 11:18,
lk18257111917421,10005cinim,784101,14/09/18 07:19,14/09/18 07:19,14/09/18 11:19,655,1857797123597060,10.45.0.179, ,1,14/09/18 11:19,
ow18257112227154,10005cinim,784101,14/09/18 07:22,14/09/18 07:22,14/09/18 11:22,655,1857513370260990,10.45.0.179, ,3,14/09/18 11:23,
zp18257112408787,10005cinim,784101,14/09/18 07:24,14/09/18 07:24,14/09/18 11:24,655,1857156169027540,10.45.0.179, ,3,14/09/18 11:24,
eu18257112842622,10005cinim,784101,14/09/18 07:28,14/09/18 07:28,14/09/18 11:28,655,1857156169027540,10.45.0.179, ,1,14/09/18 11:28,
ox18257113009480,10005cinim,784101,14/09/18 07:30,14/09/18 07:30,14/09/18 11:30,655,1857744784484090,10.45.0.179, ,3,14/09/18 11:30,
hp18257113146622,10005cinim,784101,14/09/18 07:31,14/09/18 07:31,14/09/18 11:31,655,1857916019222120,10.45.0.179, ,1,14/09/18 11:31,
nd18257113714708,10005cinim,784101,14/09/18 07:37,14/09/18 07:37,14/09/18 11:37,655,1857942974211500,10.45.0.179, ,3,14/09/18 11:37,
dz18257114003539,10005cinim,784101,14/09/18 07:40,14/09/18 07:40,14/09/18 11:40,655,1857942974211500,10.45.0.179, ,1,14/09/18 11:40,
sh18257114036973,10005cinim,784101,14/09/18 07:40,14/09/18 07:40,14/09/18 11:40,655,1857235971133570,10.45.0.179, ,3,14/09/18 11:40,
gl18257114912688,10005cinim,784101,14/09/18 07:49,14/09/18 07:49,14/09/18 11:49,655,1857295907090050,10.45.0.179, ,3,14/09/18 11:49,
es18257115027498,10005cinim,784101,14/09/18 07:50,14/09/18 07:50,14/09/18 11:50,655,1857884500480860,10.45.0.179, ,3,14/09/18 11:50,
tc18257115248882,10005cinim,784101,14/09/18 07:52,14/09/18 07:52,14/09/18 11:52,655,1857253936119330,10.45.0.179, ,3,14/09/18 11:52,
ys18257115828332,10005cinim,784101,14/09/18 07:58,14/09/18 07:58,14/09/18 11:58,655,1857759850254080,10.45.0.179, ,3,14/09/18 11:58,
yf18257120354748,10005cinim,784101,14/09/18 08:03,14/09/18 08:03,14/09/18 12:03,655,1857566081569600,10.45.0.179, ,3,14/09/18 12:04,
wk18257120430155,10005cinim,784101,14/09/18 08:04,14/09/18 08:04,14/09/18 12:04,655,1857566081569600,10.45.0.179, ,1,14/09/18 12:04,
jl18257121005596,10005cinim,784101,14/09/18 08:10,14/09/18 08:10,14/09/18 12:10,655,1857803440889050,10.45.0.179, ,3,14/09/18 12:10,
zo18257121428720,10005cinim,784101,14/09/18 08:14,14/09/18 08:14,14/09/18 12:14,655,1857165789798190,10.45.0.179, ,3,14/09/18 12:14,
eh18257121628885,10005cinim,784101,14/09/18 08:16,14/09/18 08:16,14/09/18 12:16,655,1857263691519990,10.45.0.179, ,3,14/09/18 12:16,
gg18257122159966,10005cinim,784101,14/09/18 08:21,14/09/18 08:21,14/09/18 12:21,655,1857212061075190,10.45.0.179, ,3,14/09/18 12:22,
ht18257020122171,10005cinim,784101,14/09/18 10:01,14/09/18 10:01,14/09/18 14:01,655,1857722661760500,10.45.0.179, ,1,14/09/18 14:01,
qu18257020634484,10005cinim,784101,14/09/18 10:06,14/09/18 10:06,14/09/18 14:06,655,1857737704670090,10.45.0.179, ,1,14/09/18 14:06,
ag18257021009283,10005cinim,784101,14/09/18 10:10,14/09/18 10:10,14/09/18 14:10,655,1857622957514630,10.45.0.179, ,1,14/09/18 14:10,
xd18257022040141,10005cinim,784101,14/09/18 10:20,14/09/18 10:20,14/09/18 14:20,655,1857444897460270,10.45.0.179, ,1,14/09/18 14:20,
jn18257023034864,10005cinim,784101,14/09/18 10:30,14/09/18 10:30,14/09/18 14:30,655,1857929297649380,10.45.0.179, ,1,14/09/18 14:30,
jw18257023306167,10005cinim,784101,14/09/18 10:33,14/09/18 10:33,14/09/18 14:33,655,1857425661991040,10.45.0.179, ,1,14/09/18 14:33,
ti18257023551123,10005cinim,784101,14/09/18 10:35,14/09/18 10:35,14/09/18 14:35,655,1857445604012070,10.45.0.179, ,1,14/09/18 14:35,
wl18257023942526,10005cinim,784101,14/09/18 10:39,14/09/18 10:39,14/09/18 14:39,655,1857794847175130,10.45.0.179, ,1,14/09/18 14:39,
bd18257024317102,10005cinim,784101,14/09/18 10:43,14/09/18 10:43,14/09/18 14:43,655,1857461463223080,10.45.0.179, ,1,14/09/18 14:43,
ln18257024624845,10005cinim,784101,14/09/18 10:46,14/09/18 10:46,14/09/18 14:46,655,1857220442237510,10.45.0.179, ,1,14/09/18 14:46,
gl18257024837878,10005cinim,784101,14/09/18 10:48,14/09/18 10:48,14/09/18 14:48,655,1857266295312070,10.45.0.179, ,1,14/09/18 14:48,
pi18257025018652,10005cinim,784101,14/09/18 10:50,14/09/18 10:50,14/09/18 14:50,655,1857405547270710,10.45.0.179, ,1,14/09/18 14:50,
bp18257025851383,10005cinim,784101,14/09/18 10:58,14/09/18 10:58,14/09/18 14:58,655,1857677268729360,10.45.0.179, ,1,14/09/18 14:58,
az18257025958938,10005cinim,784101,14/09/18 10:59,14/09/18 10:59,14/09/18 14:59,655,1857314617514480,10.45.0.179, ,1,14/09/18 14:59,
bj18257030152435,10005cinim,784101,14/09/18 11:01,14/09/18 11:01,14/09/18 15:01,655,1857777435029650,10.45.0.179, ,1,14/09/18 15:01,
ar18257030406664,10005cinim,784101,14/09/18 11:04,14/09/18 11:04,14/09/18 15:04,655,1857118132215790,10.45.0.179, ,3,14/09/18 15:04,
eb18257030602171,10005cinim,784101,14/09/18 11:06,14/09/18 11:06,14/09/18 15:06,655,1857318575535590,10.45.0.179, ,1,14/09/18 15:06,
fy18257030739777,10005cinim,784101,14/09/18 11:07,14/09/18 11:07,14/09/18 15:07,655,1857167825685570,10.45.0.179, ,1,14/09/18 15:07,
uu18257030937725,10005cinim,784101,14/09/18 11:09,14/09/18 11:09,14/09/18 15:09,655,1857100942746020,10.45.0.179, ,3,14/09/18 15:09,
jc18257034152686,10005cinim,784101,14/09/18 11:41,14/09/18 11:41,14/09/18 15:41,655,1857100942746020,10.45.0.179, ,3,14/09/18 15:41,
fs18257034200861,10005cinim,784101,14/09/18 11:42,14/09/18 11:42,14/09/18 15:42,655,1857100942746020,10.45.0.179, ,1,14/09/18 15:42,
xv18257034439449,10005cinim,784101,14/09/18 11:44,14/09/18 11:44,14/09/18 15:44,655,1857842989635580,10.45.0.179, ,1,14/09/18 15:44,
zk18257034456571,10005cinim,784101,14/09/18 11:44,14/09/18 11:44,14/09/18 15:44,655,1857842989635580,10.45.0.179, ,1,14/09/18 15:44,
wj18257041400491,10005cinim,784101,14/09/18 12:14,14/09/18 12:14,14/09/18 16:14,655,1857842989635580,10.45.0.179, ,1,14/09/18 16:14,
ut18257041454354,10005cinim,784101,14/09/18 12:14,14/09/18 12:14,14/09/18 16:14,655,1857699538120200,10.45.0.179, ,3,14/09/18 16:19,
fi18257041908778,10005cinim,784101,14/09/18 12:19,14/09/18 12:19,14/09/18 16:19,655,1857699538120200,10.45.0.179, ,1,14/09/18 16:19,
kh18257042003986,10005cinim,784101,14/09/18 12:20,14/09/18 12:20,14/09/18 16:20,655,1857254826382510,10.45.0.179, ,3,14/09/18 16:20,
gk18257042152322,10005cinim,784101,14/09/18 12:21,14/09/18 12:21,14/09/18 16:21,655,1857704172835050,10.45.0.179, ,3,14/09/18 16:22,
sy18257042638890,10005cinim,784101,14/09/18 12:26,14/09/18 12:26,14/09/18 16:26,655,1857243025915800,10.45.0.179, ,3,14/09/18 16:26,
pb18257042830606,10005cinim,784101,14/09/18 12:28,14/09/18 12:28,14/09/18 16:28,655,1857901002350810,10.45.0.179, ,3,14/09/18 16:28,
in18257043302340,10005cinim,784101,14/09/18 12:33,14/09/18 12:33,14/09/18 16:33,655,1857901002350810,10.45.0.179, ,1,14/09/18 16:33,
jp18257043321677,10005cinim,784101,14/09/18 12:33,14/09/18 12:33,14/09/18 16:33,655,1857901002350810,10.45.0.179, ,1,14/09/18 16:33,
gm18257043332229,10005cinim,784101,14/09/18 12:33,14/09/18 12:33,14/09/18 16:33,655,1857901002350810,10.45.0.179, ,1,14/09/18 16:33,
kj18257043346608,10005cinim,784101,14/09/18 12:33,14/09/18 12:33,14/09/18 16:33,655,1857901002350810,10.45.0.179, ,3,14/09/18 16:34,
if18257043411105,10005cinim,784101,14/09/18 12:34,14/09/18 12:34,14/09/18 16:34,655,1857901002350810,10.45.0.179, ,1,14/09/18 16:34,
jd18257043456665,10005cinim,784101,14/09/18 12:34,14/09/18 12:34,14/09/18 16:34,655,1857938275661260,10.45.0.179, ,3,14/09/18 16:35,
cp18257044155533,10005cinim,784101,14/09/18 12:41,14/09/18 12:41,14/09/18 16:41,655,1857894330739500,10.45.0.179, ,3,14/09/18 16:41,
os18257044221131,10005cinim,784101,14/09/18 12:42,14/09/18 12:42,14/09/18 16:42,655,1857894330739500,10.45.0.179, ,1,14/09/18 16:42,
cy18257044251745,10005cinim,784101,14/09/18 12:42,14/09/18 12:42,14/09/18 16:42,655,1857894330739500,10.45.0.179, ,3,14/09/18 16:42,
fj18257044258586,10005cinim,784101,14/09/18 12:42,14/09/18 12:42,14/09/18 16:42,655,1857894330739500,10.45.0.179, ,1,14/09/18 16:42,
fg18257044313842,10005cinim,784101,14/09/18 12:43,14/09/18 12:43,14/09/18 16:43,655,1857894330739500,10.45.0.179, ,1,14/09/18 16:43,
ll18257044442667,10005cinim,784101,14/09/18 12:44,14/09/18 12:44,14/09/18 16:44,655,1857894330739500,10.45.0.179, ,1,14/09/18 16:44,
st18257044449905,10005cinim,784101,14/09/18 12:44,14/09/18 12:44,14/09/18 16:44,655,1857894330739500,10.45.0.179, ,3,14/09/18 16:44,
on18257044456706,10005cinim,784101,14/09/18 12:44,14/09/18 12:44,14/09/18 16:44,655,1857894330739500,10.45.0.179, ,1,14/09/18 16:44,
xn18257044521743,10005cinim,784101,14/09/18 12:45,14/09/18 12:45,14/09/18 16:45,655,1857894330739500,10.45.0.179, ,1,14/09/18 16:45,
eh18257044552765,10005cinim,784101,14/09/18 12:45,14/09/18 12:45,14/09/18 16:45,655,1857127535447150,10.45.0.179, ,3,14/09/18 16:46,
od18267112610491,10005cinim,784101,24/09/18 07:26,24/09/18 07:26,24/09/18 11:26,655,1867826345973020,10.45.0.179, ,1,24/09/18 11:26,
sf18267112620944,10005cinim,784101,24/09/18 07:26,24/09/18 07:26,24/09/18 11:26,655,1867826345973020,10.45.0.179, ,1,24/09/18 11:26,
gd18267120643576,10005cinim,784101,24/09/18 08:06,24/09/18 08:06,24/09/18 12:06,655,1867322075533500,10.45.0.179, ,3,24/09/18 12:06,
py18269094025904,10005cinim,784101,26/09/18 05:40,26/09/18 05:40,26/09/18 09:40,655,1869735424238220,10.45.0.179, ,1,26/09/18 09:40,
le18269094524883,10005cinim,784101,26/09/18 05:45,26/09/18 05:45,26/09/18 09:45,655,1869125039482430,10.45.0.179, ,3,26/09/18 09:45,
nn19261125118844,10005muthu,300001,18/09/19 08:51,18/09/19 08:51,18/09/19 12:51,651,1961990723535870,SYSTEM, ,1,,
zh19261125812576,10005muthu,300001,18/09/19 08:58,18/09/19 08:58,18/09/19 12:58,651,1960962491160960,SYSTEM, ,1,,
vl19266124610921,10005muthu,300001,23/09/19 08:46,23/09/19 08:46,23/09/19 12:46,651,1966893161015480,SYSTEM, ,1,,
vc19266045929716,10005muthu,300001,23/09/19 12:59,23/09/19 12:59,23/09/19 16:59,651,1966286064742500,SYSTEM, ,1,,
ec19267101708277,10005muthu,300001,24/09/19 06:17,24/09/19 06:17,24/09/19 10:17,651,1967581896861480,SYSTEM, ,1,,
gh19266103625718,10005muthu,300001,23/09/19 06:36,23/09/19 06:36,23/09/19 10:36,651,1966272643639060,10.128.1.5, ,1,23/09/19 10:36,
xq19261115437474,10005muthu,300001,18/09/19 07:54,18/09/19 07:54,18/09/19 11:54,651,1960962491160960,SYSTEM, ,1,,
pv18262092619797,10005smithas,784198,19/09/18 05:26,19/09/18 05:26,19/09/18 09:26,651,1862798346193510,172.30.20.149, ,1,19/09/18 09:26,
cs18262092704115,10005smithas,784198,19/09/18 05:27,19/09/18 05:27,19/09/18 09:27,651,1862798346193510,172.30.20.149, ,1,19/09/18 09:27,
mu18248054633077,10005cinim,784101,05/09/18 13:46,05/09/18 13:46,05/09/18 17:46,632,1848132085366030,10.45.0.179, ,1,05/09/18 17:46,
sf18248025933852,10005cinim,784101,05/09/18 10:59,05/09/18 10:59,05/09/18 14:59,632,1848561964866150,10.45.0.179, ,1,05/09/18 14:59,
mt18248030244901,10005cinim,784101,05/09/18 11:02,05/09/18 11:02,05/09/18 15:02,632,1848174060182730,10.45.0.179, ,1,05/09/18 15:02,
sf18248031514339,10005cinim,784101,05/09/18 11:15,05/09/18 11:15,05/09/18 15:15,632,1848174060182730,10.45.0.179, ,1,05/09/18 15:15,
ia18248031534418,10005cini,784101,05/09/18 11:15,05/09/18 11:15,05/09/18 15:15,632,1848740677658270,10.45.0.179, ,1,05/09/18 15:15,
of18248032053783,10005cini,784101,05/09/18 11:20,05/09/18 11:20,05/09/18 15:20,632,1848740677658270,10.45.0.179, ,1,05/09/18 15:20,
zu18248032545885,10005cini,784101,05/09/18 11:25,05/09/18 11:25,05/09/18 15:25,632,1848740677658270,10.45.0.179, ,1,05/09/18 15:25,
ub18249111806298,10005cinim,784101,06/09/18 07:18,06/09/18 07:18,06/09/18 11:18,632,1849523908031040,10.45.0.179, ,1,06/09/18 11:18,
hs18249124157275,10005cinim,784101,06/09/18 08:41,06/09/18 08:41,06/09/18 12:41,632,1849152624112610,10.45.0.179, ,1,06/09/18 12:41,
ic18249031129048,10005cini,784101,06/09/18 11:11,06/09/18 11:11,06/09/18 15:11,632,1849241988044970,10.45.0.179, ,1,06/09/18 15:11,
pg18249031223364,10005cinim,784101,06/09/18 11:12,06/09/18 11:12,06/09/18 15:12,632,1849465540072800,10.45.0.179, ,1,06/09/18 15:12,
nj18249031538763,10005cinim,784101,06/09/18 11:15,06/09/18 11:15,06/09/18 15:15,632,1849985764595900,10.45.0.179, ,1,06/09/18 15:15,
yk18249031714866,10005cinim,784101,06/09/18 11:17,06/09/18 11:17,06/09/18 15:17,632,1849171777782780,10.45.0.179, ,1,06/09/18 15:17,
zz18249031915025,10005cinim,784101,06/09/18 11:19,06/09/18 11:19,06/09/18 15:19,632,1849270768331710,10.45.0.179, ,1,06/09/18 15:19,
vx18249032107872,10005cinim,784101,06/09/18 11:21,06/09/18 11:21,06/09/18 15:21,632,1849819429822230,10.45.0.179, ,3,06/09/18 15:21,
hw18249042202265,10005cinim,784101,06/09/18 12:22,06/09/18 12:22,06/09/18 16:22,632,1849672432419870,10.45.0.179, ,1,06/09/18 16:22,
no18249043253053,10005cinim,784101,06/09/18 12:32,06/09/18 12:32,06/09/18 16:32,632,1849454894354970,10.45.0.179, ,3,06/09/18 16:33,
pj18249044842517,10005cinim,784101,06/09/18 12:48,06/09/18 12:48,06/09/18 16:48,632,1849826724240140,10.45.0.179, ,1,06/09/18 16:48,
ff18249045003431,10005cinim,784101,06/09/18 12:50,06/09/18 12:50,06/09/18 16:50,632,1849484545916930,10.45.0.179, ,3,06/09/18 16:50,
gm18249045440215,10005cinim,784101,06/09/18 12:54,06/09/18 12:54,06/09/18 16:54,632,1849364993597440,10.45.0.179, ,3,06/09/18 16:54,
vc18249050454784,10005cinim,784101,06/09/18 13:04,06/09/18 13:04,06/09/18 17:04,632,1849803051687110,10.45.0.179, ,1,06/09/18 17:04,
dh18249050821964,10005cinim,784101,06/09/18 13:08,06/09/18 13:08,06/09/18 17:08,632,1849864767091860,10.45.0.179, ,1,06/09/18 17:08,
uj18249051204120,10005cinim,784101,06/09/18 13:12,06/09/18 13:12,06/09/18 17:12,632,1849940605036690,10.45.0.179, ,3,06/09/18 17:12,
hv18249053108760,10005cinim,784101,06/09/18 13:31,06/09/18 13:31,06/09/18 17:31,632,1849752670623280,10.45.0.179, ,3,06/09/18 17:31,
pw18249053325169,10005cinim,784101,06/09/18 13:33,06/09/18 13:33,06/09/18 17:33,632,1849349336919090,10.45.0.179, ,1,06/09/18 17:33,
fy18255103020572,10005cini,784101,12/09/18 06:30,12/09/18 06:30,12/09/18 10:30,632,1855862936639340,10.45.0.179, ,1,12/09/18 10:30,
fp18255103744755,10005cinim,784101,12/09/18 06:37,12/09/18 06:37,12/09/18 10:37,632,1855945231790740,10.45.0.179, ,3,12/09/18 10:37,
sw18255104221290,10005cinim,784101,12/09/18 06:42,12/09/18 06:42,12/09/18 10:42,632,1855490475058990,10.45.0.179, ,1,12/09/18 10:42,
ym18255104549062,10005cini,784101,12/09/18 06:45,12/09/18 06:45,12/09/18 10:45,632,1855189016248670,10.45.0.179, ,1,12/09/18 10:45,
ks18255104651900,10005cinim,784101,12/09/18 06:46,12/09/18 06:46,12/09/18 10:46,632,1855376369748910,10.45.0.179, ,1,12/09/18 10:46,
pq18255105156548,10005cinim,784101,12/09/18 06:51,12/09/18 06:51,12/09/18 10:51,632,1855596184255960,10.45.0.179, ,3,12/09/18 10:52,
xr18255105537983,10005cinim,784101,12/09/18 06:55,12/09/18 06:55,12/09/18 10:55,632,1855778939052490,10.45.0.179, ,3,12/09/18 10:55,
hj18254083027576,10005cini,784101,11/09/18 04:30,11/09/18 04:30,11/09/18 08:30,632,1854753345245360,10.45.0.179, ,1,11/09/18 08:30,
hb18254095014907,10005cinim,784101,11/09/18 05:50,11/09/18 05:50,11/09/18 09:50,632,1854612483594700,10.45.0.179, ,1,11/09/18 09:50,
lp18254095231757,10005cini,784198,11/09/18 05:52,11/09/18 05:52,11/09/18 09:52,632,1854204191725410,10.45.0.179, ,1,11/09/18 09:52,
ua18255113402692,10005cinim,784101,12/09/18 07:34,12/09/18 07:34,12/09/18 11:34,632,1855733927290260,10.45.0.179, ,1,12/09/18 11:34,
vr18255123139427,10005cinim,784101,12/09/18 08:31,12/09/18 08:31,12/09/18 12:31,632,1855638946525830,10.45.0.179, ,3,12/09/18 12:31,
jk18255123518436,10005cinim,784101,12/09/18 08:35,12/09/18 08:35,12/09/18 12:35,632,1855773032885650,10.45.0.179, ,3,12/09/18 12:35,
hi18255124401396,10005cinim,784101,12/09/18 08:44,12/09/18 08:44,12/09/18 12:44,632,1855495595845500,10.45.0.179, ,3,12/09/18 12:44,
se18255124605185,10005cinim,784101,12/09/18 08:46,12/09/18 08:46,12/09/18 12:46,632,1855417795762940,10.45.0.179, ,3,12/09/18 12:46,
qr18264011254702,10005cinim,784101,21/09/18 09:12,21/09/18 09:12,21/09/18 13:12,632,1864821043690640,10.45.0.179, ,3,21/09/18 13:13,
rs18264095540774,10005cinim,784101,21/09/18 05:55,21/09/18 05:55,21/09/18 09:55,632,1864690388437690,10.45.0.179, ,1,21/09/18 09:55,
ge18264095809626,10005cinim,784101,21/09/18 05:58,21/09/18 05:58,21/09/18 09:58,632,1864868252055380,10.45.0.179, ,1,21/09/18 09:58,
pv18264110705438,10005cinim,784101,21/09/18 07:07,21/09/18 07:07,21/09/18 11:07,632,1864399367611630,10.45.0.179, ,1,21/09/18 11:07,
